date,category,task,completed,created_at
2025-08-08,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-08,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-08-09,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-09,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-08-10,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-10,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-08-11,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-11,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-08-12,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-12,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-08-12,Personal Brand,Post video and engage with followers,False,2025-08-07 15:18:09.546226
2025-08-12,AI Learning,Practice Python coding exercises,False,2025-08-07 15:18:09.546226
2025-08-13,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-13,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-08-14,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-14,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-08-14,Personal Brand,Film/edit new video content,False,2025-08-07 15:18:09.546226
2025-08-14,AI Learning,Watch ML course video or webinar,False,2025-08-07 15:18:09.546226
2025-08-15,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-15,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-08-16,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-16,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-08-16,Personal Brand,Analyze engagement and plan next week content,False,2025-08-07 15:18:09.546226
2025-08-16,Networking,Reach out to 1 AI professional or influencer,False,2025-08-07 15:18:09.546226
2025-08-17,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-17,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-08-18,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-18,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-08-19,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-19,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-08-20,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-20,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-08-21,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-21,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-08-21,Personal Brand,Post video and engage with followers,False,2025-08-07 15:18:09.546226
2025-08-21,AI Learning,Practice Python coding exercises,False,2025-08-07 15:18:09.546226
2025-08-22,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-22,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-08-23,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-23,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-08-24,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-24,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-08-25,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-25,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-08-26,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-26,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-08-26,Personal Brand,Film/edit new video content,False,2025-08-07 15:18:09.546226
2025-08-26,AI Learning,Watch ML course video or webinar,False,2025-08-07 15:18:09.546226
2025-08-27,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-27,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-08-28,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-28,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-08-28,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn) classification) - Day 1 of 22,False,2025-08-07 15:18:09.546226
2025-08-29,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-29,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-08-29,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 2 of 22,False,2025-08-07 15:18:09.546226
2025-08-30,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-30,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-08-30,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 3 of 22,False,2025-08-07 15:18:09.546226
2025-08-31,Workout,Run 3 miles,False,2025-08-07 15:18:09.546226
2025-08-31,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-08-31,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 4 of 22,False,2025-08-07 15:18:09.546226
2025-09-01,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 5 of 22,False,2025-08-07 15:18:09.546226
2025-09-01,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-01,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-09-02,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 6 of 22,False,2025-08-07 15:18:09.546226
2025-09-02,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-02,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-09-03,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 7 of 22,False,2025-08-07 15:18:09.546226
2025-09-03,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-03,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-09-04,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 8 of 22,False,2025-08-07 15:18:09.546226
2025-09-04,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-04,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-09-05,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 9 of 22,False,2025-08-07 15:18:09.546226
2025-09-05,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-05,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-09-06,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 10 of 22,False,2025-08-07 15:18:09.546226
2025-09-06,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-06,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-09-07,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 11 of 22,False,2025-08-07 15:18:09.546226
2025-09-07,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-07,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-09-08,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 12 of 22,False,2025-08-07 15:18:09.546226
2025-09-08,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-08,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-09-09,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 13 of 22,False,2025-08-07 15:18:09.546226
2025-09-09,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-09,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-09-10,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 14 of 22,False,2025-08-07 15:18:09.546226
2025-09-10,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-10,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-09-11,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 15 of 22,False,2025-08-07 15:18:09.546226
2025-09-11,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-11,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-09-12,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 16 of 22,False,2025-08-07 15:18:09.546226
2025-09-12,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-12,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-09-13,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 17 of 22,False,2025-08-07 15:18:09.546226
2025-09-13,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-13,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-09-14,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 18 of 22,False,2025-08-07 15:18:09.546226
2025-09-14,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-14,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-09-15,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 19 of 22,False,2025-08-07 15:18:09.546226
2025-09-15,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-15,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-09-16,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 20 of 22,False,2025-08-07 15:18:09.546226
2025-09-16,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-16,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-09-17,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 21 of 22,False,2025-08-07 15:18:09.546226
2025-09-17,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-17,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-09-18,Project,Credit Risk Scoring Model (Loan approval using ML models - Python (scikit-learn)classification\) - Day 22 of 22,False,2025-08-07 15:18:09.546226
2025-09-18,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-18,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-09-19,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 1 of 20,False,2025-08-07 15:18:09.546226
2025-09-19,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-19,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-09-20,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 2 of 20,False,2025-08-07 15:18:09.546226
2025-09-20,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-20,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-09-21,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 3 of 20,False,2025-08-07 15:18:09.546226
2025-09-21,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-21,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-09-22,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 4 of 20,False,2025-08-07 15:18:09.546226
2025-09-22,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-22,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-09-23,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 5 of 20,False,2025-08-07 15:18:09.546226
2025-09-23,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-23,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-09-24,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 6 of 20,False,2025-08-07 15:18:09.546226
2025-09-24,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-24,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-09-25,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 7 of 20,False,2025-08-07 15:18:09.546226
2025-09-25,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-25,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-09-26,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 8 of 20,False,2025-08-07 15:18:09.546226
